name,ra_Deg,dec_Deg,OBS_ID,PN_DATE_OBS
NGC 4151,182.635745,39.40573,0761670901,2015-12-22
NGC 4395,186.453592,33.546928,0142830101,2003-11-30
NGC 4395,186.453592,33.546928,0744010101,2014-12-28
NGC 4593,189.914272,-5.344261,0059830101,2002-06-23
NGC 4593,189.914272,-5.344261,0740920201,2014-12-29
NGC 4593,189.914272,-5.344261,0740920601,2015-01-06
NGC 4593,189.914272,-5.344261,0784740101,2016-07-14
NGC 5273,205.5345,35.65417,0805080401,2017-06-02
NGC 5506,213.31205,-3.207577,0013140101,2001-02-02
NGC 5506,213.31205,-3.207577,0201830201,2004-07-11
NGC 5506,213.31205,-3.207577,0201830401,2004-07-22
NGC 5506,213.31205,-3.207577,0201830501,2004-08-07
NGC 5506,213.31205,-3.207577,0554170101,2009-01-02
NGC 5506,213.31205,-3.207577,0554170201,2008-07-27
NGC 5506,213.31205,-3.207577,0761220101,2015-07-08
NGC 5548,214.498058,25.13679,0089960301,2001-07-09
NGC 5548,214.498058,25.13679,0720110501,2013-07-07
NGC 5548,214.498058,25.13679,0720110601,2013-07-11
NGC 5548,214.498058,25.13679,0720110701,2013-07-15
NGC 5548,214.498058,25.13679,0720111101,2013-07-25
NGC 5548,214.498058,25.13679,0720111301,2013-07-29
NGC 5548,214.498058,25.13679,0720111501,2013-12-20
NGC 6814,295.6692,-10.3235,0550451801,2009-04-22
NGC 6814,295.6692,-10.3235,0764620101,2016-04-08
NGC 7314,338.942462,-26.050466,0111790101,2001-05-02
NGC 7314,338.942462,-26.050466,0311190101,2006-05-03
NGC 7314,338.942462,-26.050466,0725200101,2013-05-17
NGC 7314,338.942462,-26.050466,0725200301,2013-11-28
NGC 7314,338.942462,-26.050466,0790650101,2016-05-14
NGC 7469,345.815095,8.873997,0207090101,2004-11-30
NGC 7469,345.815095,8.873997,0207090201,2004-12-03
NGC 7469,345.815095,8.873997,0760350201,2015-06-12
NGC 7469,345.815095,8.873997,0760350501,2015-12-23
NGC 7469,345.815095,8.873997,0760350601,2015-12-24
NGC 7469,345.815095,8.873997,0760350701,2015-12-26
NGC 7469,345.815095,8.873997,0760350801,2015-12-28
PG 1211+143,183.573625,14.053639,0745110201,2014-06-16
PG 1211+143,183.573625,14.053639,0745110701,2014-07-07
SWIFT J2127.4+5654,321.937292,56.944361,0655450101,2010-11-29
SWIFT J2127.4+5654,321.937292,56.944361,0693781701,2012-11-04
SWIFT J2127.4+5654,321.937292,56.944361,0693781801,2012-11-06
SWIFT J2127.4+5654,321.937292,56.944361,0693781901,2012-11-08
